Section,StandardID,StandardTitle,CoreRequirement,Tags
1,1.1,Integrity,Y,"integrity,ethics,conduct,foundational"
2,2.1,Institutional Mission,Y,"mission,purpose,higher education,planning"
3,3.1.a,Degree-granting authority,Y,"eligibility,authorization,legal,state"
3,3.1.b,Coursework for degrees,Y,"eligibility,instruction,programs,coursework"
3,3.1.c,Continuous operation,Y,"eligibility,operation,enrollment,students"
4,4.1,Governing board characteristics,Y,"board,governance,fiduciary,legal"
4,4.2.a,Mission review,N,"board,mission,review,governance"
4,4.2.b,Board/administrative distinction,N,"board,administration,roles,governance"
4,4.2.c,CEO evaluation and selection,N,"board,CEO,evaluation,selection"
4,4.2.d,Conflict of interest,N,"board,ethics,conflict,disclosure"
4,4.2.e,Board dismissal,N,"board,policy,dismissal"
4,4.2.f,External influence,N,"board,independence,influence"
4,4.2.g,Board self-evaluation,N,"board,assessment,self-evaluation"
4,4.3,Multi-level governance,N,"board,system,governance,structure"
5,5.1,Chief executive officer,Y,"CEO,president,leadership,administration"
5,5.2.a,CEO control of institution,N,"CEO,control,administration"
5,5.2.b,Control of intercollegiate athletics,N,"athletics,control,administration"
5,5.2.c,Control of fund-raising,N,"fundraising,foundation,advancement"
5,5.3,Institution-related entities,N,"foundation,related entities,governance"
5,5.4,Qualified administrative/academic officers,N,"administrators,qualifications,credentials"
5,5.5,Personnel appointment and evaluation,N,"personnel,hiring,evaluation,policies"
6,6.1,Full-time faculty,Y,"faculty,staffing,full-time,adequacy"
6,6.2.a,Faculty qualifications,N,"faculty,credentials,qualifications,teaching"
6,6.2.b,Program faculty,N,"faculty,programs,staffing"
6,6.2.c,Program coordination,N,"faculty,coordination,programs"
6,6.3,Faculty appointment and evaluation,N,"faculty,hiring,evaluation,policies"
6,6.4,Academic freedom,N,"faculty,academic freedom,policy"
6,6.5,Faculty development,N,"faculty,professional development,training"
7,7.1,Institutional planning,Y,"planning,assessment,effectiveness,improvement"
7,7.2,Quality Enhancement Plan,N,"QEP,student learning,improvement,assessment"
7,7.3,Administrative effectiveness,N,"administrative,assessment,effectiveness"
8,8.1,Student achievement,Y,"student success,achievement,outcomes,metrics"
8,8.2.a,Student outcomes: educational programs,N,"assessment,programs,learning outcomes"
8,8.2.b,Student outcomes: general education,N,"general education,assessment,competencies"
8,8.2.c,Student outcomes: academic and student services,N,"student services,assessment,outcomes"
9,9.1,Program content,Y,"programs,curriculum,content,higher education"
9,9.2,Program length,Y,"programs,credit hours,length,degrees"
9,9.3,General education requirements,Y,"general education,curriculum,requirements"
9,9.4,Institutional credits for undergraduate degree,N,"credits,transfer,undergraduate"
9,9.5,Institutional credits for graduate/professional degree,N,"credits,graduate,professional"
9,9.6,Post-baccalaureate rigor and curriculum,N,"graduate,rigor,curriculum"
9,9.7,Program requirements,N,"programs,requirements,publication"
10,10.1,Academic policies,N,"policies,academic,grading"
10,10.2,Public information,N,"consumer information,publication,transparency"
10,10.3,Archived information,N,"records,archive,catalog"
10,10.4,Academic governance,N,"governance,faculty,curriculum"
10,10.5,Admissions policies and practices,N,"admissions,policies,enrollment"
10,10.6,Distance and correspondence education,N,"distance education,online,identity verification"
10,10.7,Policies for awarding credit,N,"credit hour,policy,federal"
10,10.8,Evaluating and awarding academic credit,N,"transfer,credit,articulation"
10,10.9,Cooperative academic arrangements,N,"consortia,contracts,arrangements"
11,11.1,Library and learning/information resources,Y,"library,resources,learning,information"
11,11.2,Library and learning/information staff,N,"library,staffing,personnel"
11,11.3,Library and learning/information access,N,"library,access,services"
12,12.1,Student support services,Y,"student services,support,services"
12,12.2,Student support services staff,N,"student services,staffing,personnel"
12,12.3,Student rights,N,"student rights,responsibilities,policy"
12,12.4,Student complaints,N,"complaints,grievances,process"
12,12.5,Student records,N,"records,FERPA,privacy"
12,12.6,Student debt and financial literacy,N,"financial aid,debt,literacy"
13,13.1,Financial resources,Y,"finance,budget,resources,stability"
13,13.2,Financial documents,Y,"audit,financial statements,documents"
13,13.3,Financial responsibility,N,"finance,responsibility,controls"
13,13.4,Control of finances,N,"finance,budget,control"
13,13.5,Control of sponsored research/external funds,N,"grants,external funds,sponsored"
13,13.6,Federal and state responsibilities,N,"compliance,federal,state,financial aid"
13,13.7,Physical resources,N,"facilities,physical,resources"
13,13.8,Institutional environment,N,"safety,security,environment"
14,14.1,Publication of accreditation status,N,"accreditation,publication,status"
14,14.2,Substantive change,N,"substantive change,reporting,compliance"
14,14.3,Comprehensive institutional reviews,N,"off-campus,distance education,comprehensive"
14,14.4,Representation to other agencies,N,"agencies,representation,accreditation"
14,14.5,Policy compliance,N,"policies,compliance,SACSCOC"
